batters faced, earned runs, era, fly balls, ground balls, hit batters, hits allowed, home runs allowed, innings pitched, name, order, pitches, result, runs allowed, strike outs thrown, strikes, walks allowed
8,1,9.000,0,3,[],2,1,2.000,Brendan Donnelly,3,27,H,1,3,21,0
6,1,5.400,0,1,[],1,0,1.000,Scot Shields,4,27,W,1,2,14,2
20,3,6.750,4,5,[],7,0,4.000,Chris Young,1,92,,3,3,58,1
10,3,10.120,1,3,[],4,1,2.000,RA Dickey,2,29,,3,2,19,0
2,0,0.000,0,2,[],0,0,0.667,Matt Riley,3,5,,0,0,5,0
2,0,0.000,0,0,[],0,0,0.333,Ryan Bukvich,4,9,,0,1,4,1
7,1,3.380,2,2,[],1,0,1.333,Brian Shouse,5,23,L,1,0,11,2
29,3,4.500,5,9,['Jeff Kent'],7,0,6.000,Brett Tomko,1,100,L,4,4,61,4
6,0,0.000,1,3,[],0,0,1.667,Jeff Fassero,2,30,,0,1,18,1
7,2,27.000,0,2,['Jason Repko'],1,0,0.667,Jim Brower,3,31,,2,0,14,3
2,0,10.120,0,2,[],0,0,0.667,Matt Herges,4,8,,0,2,8,0
28,0,0.000,6,16,[],5,0,8.000,Jeff Weaver,1,102,W,0,2,70,1
5,0,0.000,1,1,[],0,0,1.000,Kelly Wunsch,2,24,,0,1,12,1
27,2,3.000,3,9,[],7,0,6.000,AJ Burnett,1,86,L,4,6,55,2
