assists, blocks, defensive rebounds, field goals attempted, field goals made, fouls, free throws attempted, free throws made, minutes, name, offensive rebounds, plus minus, points, position, rebounds, steals, three pointers attempted, three pointers made, turnovers
0,0,0,1,1,2,2,2,3,Wang Zhizhi,0,,4,,0,0,0,0,0
2,2,3,9,7,5,7,2,21,Shaquille ONeal,2,,16,C,5,0,0,0,2
3,0,3,8,6,3,0,0,28,Damon Jones,0,,15,,3,3,5,3,1
0,1,1,5,1,4,0,0,27,Michael Doleac,2,,2,,3,0,0,0,0
2,0,1,1,0,0,0,0,6,Keyon Dooling,0,,0,,1,0,0,0,0
,,,,,,,,0,Wesley Person,,,,,,,,,
,,,,,,,,0,Christian Laettner,,,,,,,,,
6,1,3,13,7,3,2,1,37,Vince Carter,0,,16,G,3,1,1,1,2
0,0,3,4,0,1,0,0,14,Morris Peterson,2,,0,,5,0,2,0,0
8,0,7,11,6,2,0,0,36,Rafer Alston,0,,15,G,7,1,7,3,2
1,0,1,2,1,0,0,0,12,Milt Palacio,1,,2,,2,0,0,0,1
0,0,0,2,1,1,2,1,5,Lamond Murray,0,,3,,0,0,0,0,1
2,0,4,12,8,5,7,4,36,Chris Bosh,3,,20,F,7,2,0,0,3
4,0,3,10,3,2,10,10,40,Jalen Rose,0,,17,F,3,2,3,1,2
0,0,1,11,4,1,0,0,27,Donyell Marshall,3,,9,,4,1,5,1,0
,,,,,,,,0,Roger Mason,,,,,,,,,
1,1,5,7,3,1,5,3,24,Loren Woods,2,,9,C,7,1,0,0,2
0,0,1,3,1,0,0,0,6,Matt Bonner,0,,2,,1,0,0,0,0
0,0,0,2,1,0,0,0,3,Rafael Araujo,1,,2,,1,0,0,0,0
0,0,4,2,0,1,2,1,13,Bostjan Nachbar,0,,1,,4,0,1,0,1
2,2,5,9,5,4,10,7,32,Yao Ming,4,,17,C,9,1,0,0,6
2,0,5,12,6,4,0,0,32,Maurice Taylor,0,,13,F,5,1,2,1,3
3,0,5,7,3,4,1,1,40,Jim Jackson,0,,8,F,5,1,4,1,1
0,0,0,0,0,0,0,0,1,Scott Padgett,0,,0,,0,0,0,0,0
0,0,1,7,4,1,0,0,14,Clarence Weatherspoon,1,,8,,2,0,0,0,0
5,0,2,14,6,2,11,8,42,Tracy McGrady,2,,21,G,4,1,3,1,1
2,0,5,10,3,1,0,0,25,Charlie Ward,0,,8,G,5,0,5,2,2
0,0,3,5,5,3,0,0,18,Juwan Howard,1,,10,,4,0,0,0,1
