interception touchdowns, interception yards, interceptions, name
0,0,1,E Lackey
1,65,1,C Hudson
0,3,1,A Adams
0,17,2,T Floyd
0,0,1,C Gaines
0,0,1,T Holloway
0,0,1,I Adams
0,2,1,J Glenn
0,0,1,B Alexander
0,16,1,T Stewart
0,12,1,K Acker
0,0,1,A Montes
0,24,1,E Favors
2,70,2,D Edwards
0,14,1,J Cash
0,7,1,R Caldwell
0,5,1,D Green
0,0,1,H Jones
0,100,1,D Amos
0,29,1,Z Bigger
0,3,1,J Grove
0,8,1,I Spearman
0,5,1,J Currie
0,38,1,A Williamson
0,28,1,K Ladler
0,20,1,A Hal
0,16,1,A Herrera
0,15,1,J Law
0,0,1,K Anderson
0,8,1,T Williams
0,10,1,D Simon
0,0,1,S Chapman
0,0,1,M Murphy
0,16,1,J Brown
0,4,1,J George
0,0,1,D Broomfield
0,20,1,A Brown
0,2,1,S Young
0,5,1,T McDonald
0,1,1,B Fitte
0,0,2,A Barnes
0,0,1,W Likely
0,4,1,J Whigham
0,0,1,D Eskridge
0,13,1,A Watson
0,9,1,C Harris
0,0,1,S Golson
0,12,1,E Bennett
0,0,1,A Turner
1,51,1,K Byard
0,62,1,D Green
0,-2,1,T Boston
0,21,1,A Harris
0,8,1,S Daniels
0,0,1,K Buyers
0,38,1,K Peterson
0,40,2,R Vinopal
0,0,1,B Benwikere
0,11,1,J Whittaker
0,0,1,N Tenhaeff
1,18,1,J Smith
0,-3,1,R Therezie
0,15,1,D Hall
0,8,2,J Love
0,0,1,N Whitley
1,43,1,T Zimmerman
0,0,1,R Evans
0,0,1,N Lawson
0,2,1,W Sutton
0,0,1,R Nelson
0,8,1,C Berry
0,0,1,M Egwuagu
0,1,1,R Janvion
1,56,2,N Andrews
0,32,1,T Smith
0,15,1,C Jones
0,0,1,M White
1,84,1,T Watson
0,23,1,S Parker
0,20,1,T McEvoy
0,0,1,K Van Noy
0,0,1,N Kwiatkoski
0,14,1,A Phillips
0,0,1,S Edmond
0,36,1,D Smith
0,82,1,J Gates
0,0,1,X Hughes
0,18,1,M Pannell
0,49,1,J Windsor
0,20,1,B Breeland
0,2,1,A Gotsis
0,2,1,S Jackson
0,0,1,T Lang
0,3,1,J Zumwalt
0,0,1,R Goforth
0,7,1,D Mayo
0,0,1,T Bondurant
0,0,1,R Smith
1,33,2,R Nelson
0,0,1,D Randall
0,0,1,A Darby
0,26,1,R Reynolds
