defensive two point conversion, forced fumble, forced fumbles, fumble return touchdowns, fumble return yards, interception return touchdowns, interceptions, name, sacks, safeties, tackle assists, tackles
,,1,0,,0,0,Justin Houston,1.000,0,0.000,3
,,0,0,,0,0,Eric Berry,0.000,0,0.000,2
,,0,0,,0,0,Dee Ford,0.000,0,0.000,2
,,0,0,,0,0,Tamba Hali,0.000,0,1.000,2
,,0,0,,0,0,Jaye Howard,1.000,0,3.000,2
,,0,0,,0,0,Josh Mauga,0.000,0,3.000,2
,,0,0,,0,0,Ron Parker,0.000,0,2.000,2
,,0,0,,0,0,Dontari Poe,0.000,0,1.000,1
,,0,0,,0,0,Tyvon Branch,0.000,0,1.000,0
,,0,0,,0,0,Paul Worrilow,0.000,0,4.000,9
,,0,0,,0,1,William Moore,0.000,0,2.000,7
,,0,0,,0,1,Ricardo Allen,0.000,0,2.000,5
,,0,0,,0,0,Justin Durant,0.000,0,4.000,4
,,0,0,,0,0,Phillip Adams,0.000,0,0.000,3
,,0,0,,0,0,Kroy Biermann,0.000,0,1.000,2
,,0,0,,0,0,Jalen Collins,0.000,0,0.000,2
